_start,_end,_type
614,1194,KNOWS_PHONE
614,1194,KNOWS
118,662,KNOWS_PHONE
118,662,KNOWS
509,1301,KNOWS_SN
509,1301,KNOWS
1178,744,KNOWS_SN
1178,744,KNOWS
713,802,KNOWS_SN
713,802,KNOWS
576,9,KNOWS_SN
576,9,KNOWS
419,1159,KNOWS_SN
419,1159,KNOWS
70,62,KNOWS_SN
70,62,KNOWS
487,798,KNOWS_SN
487,798,KNOWS
630,155,KNOWS_SN
630,155,KNOWS
27,20,KNOWS_SN
27,20,KNOWS
444,260,KNOWS_SN
444,260,KNOWS
121,839,KNOWS_SN
121,839,KNOWS
468,82,KNOWS_SN
468,82,KNOWS
600,175,KNOWS_SN
600,175,KNOWS
1001,98,KNOWS_SN
1001,98,KNOWS
452,1027,KNOWS_SN
452,1027,KNOWS
1238,47,KNOWS_SN
1238,47,KNOWS
1073,483,KNOWS_SN
1073,483,KNOWS
857,331,KNOWS_SN
857,331,KNOWS
147,756,KNOWS_SN
147,756,KNOWS
448,709,KNOWS_SN
448,709,KNOWS
973,335,KNOWS_SN
973,335,KNOWS
1024,479,KNOWS_SN
1024,479,KNOWS
327,701,KNOWS_SN
327,701,KNOWS
640,214,KNOWS_SN
640,214,KNOWS
509,292,KNOWS_SN
509,292,KNOWS
1178,369,KNOWS_SN
1178,369,KNOWS
713,288,KNOWS_SN
713,288,KNOWS
706,225,KNOWS_SN
706,225,KNOWS
576,1304,KNOWS_SN
576,1304,KNOWS
419,604,KNOWS_SN
419,604,KNOWS
1198,232,KNOWS_SN
1198,232,KNOWS
1092,678,KNOWS_SN
1092,678,KNOWS
1265,272,KNOWS_SN
1265,272,KNOWS
70,969,KNOWS_SN
70,969,KNOWS
1114,319,KNOWS_SN
1114,319,KNOWS
874,1279,KNOWS_SN
874,1279,KNOWS
27,1194,KNOWS_SN
27,1194,KNOWS
444,264,KNOWS_SN
444,264,KNOWS
828,1108,KNOWS_SN
828,1108,KNOWS
121,1031,KNOWS_SN
121,1031,KNOWS
531,207,KNOWS_SN
531,207,KNOWS
468,363,KNOWS_SN
468,363,KNOWS
1001,910,KNOWS_SN
1001,910,KNOWS
452,53,KNOWS_SN
452,53,KNOWS
1238,39,KNOWS_SN
1238,39,KNOWS
2,353,KNOWS_SN
2,353,KNOWS
776,66,KNOWS_SN
776,66,KNOWS
1073,1111,KNOWS_SN
1073,1111,KNOWS
857,50,KNOWS_SN
857,50,KNOWS
147,436,KNOWS_SN
147,436,KNOWS
1046,1308,KNOWS_SN
1046,1308,KNOWS
930,1080,KNOWS_SN
930,1080,KNOWS
448,86,KNOWS_SN
448,86,KNOWS
973,203,KNOWS_SN
973,203,KNOWS
327,302,KNOWS_SN
327,302,KNOWS
640,592,KNOWS_SN
640,592,KNOWS
509,31,KNOWS_SN
509,31,KNOWS
713,736,KNOWS_SN
713,736,KNOWS
706,475,KNOWS_SN
706,475,KNOWS
896,670,KNOWS_SN
896,670,KNOWS
576,5,KNOWS_SN
576,5,KNOWS
419,1297,KNOWS_SN
419,1297,KNOWS
1198,43,KNOWS_SN
1198,43,KNOWS
1092,162,KNOWS_SN
1092,162,KNOWS
70,674,KNOWS_SN
70,674,KNOWS
1114,654,KNOWS_SN
1114,654,KNOWS
487,74,KNOWS_SN
487,74,KNOWS
199,554,KNOWS_SN
199,554,KNOWS
630,836,KNOWS_SN
630,836,KNOWS
27,1190,KNOWS_SN
27,1190,KNOWS
444,102,KNOWS_SN
444,102,KNOWS
828,1206,KNOWS_SN
828,1206,KNOWS
121,955,KNOWS_SN
121,955,KNOWS
468,16,KNOWS_SN
468,16,KNOWS
600,748,KNOWS_SN
600,748,KNOWS
452,892,KNOWS_SN
452,892,KNOWS
1238,106,KNOWS_SN
1238,106,KNOWS
2,1271,KNOWS_SN
2,1271,KNOWS
1073,490,KNOWS_SN
1073,490,KNOWS
1046,349,KNOWS_SN
1046,349,KNOWS
930,580,KNOWS_SN
930,580,KNOWS
448,252,KNOWS_SN
448,252,KNOWS
973,1261,KNOWS_SN
973,1261,KNOWS
1024,951,KNOWS_SN
1024,951,KNOWS
327,128,KNOWS_SN
327,128,KNOWS
640,1144,KNOWS_SN
640,1144,KNOWS
509,611,KNOWS_SN
509,611,KNOWS
1178,732,KNOWS_SN
1178,732,KNOWS
713,1226,KNOWS_SN
713,1226,KNOWS
896,634,KNOWS_SN
896,634,KNOWS
1198,760,KNOWS_SN
1198,760,KNOWS
1092,211,KNOWS_SN
1092,211,KNOWS
1265,824,KNOWS_SN
1265,824,KNOWS
1114,870,KNOWS_SN
1114,870,KNOWS
487,323,KNOWS_SN
487,323,KNOWS
630,393,KNOWS_SN
630,393,KNOWS
874,863,KNOWS_SN
874,863,KNOWS
444,246,KNOWS_SN
444,246,KNOWS
828,813,KNOWS_SN
828,813,KNOWS
121,728,KNOWS_SN
121,728,KNOWS
468,1234,KNOWS_SN
468,1234,KNOWS
600,440,KNOWS_SN
600,440,KNOWS
452,1122,KNOWS_SN
452,1122,KNOWS
1238,934,KNOWS_SN
1238,934,KNOWS
2,989,KNOWS_SN
2,989,KNOWS
776,888,KNOWS_SN
776,888,KNOWS
1073,562,KNOWS_SN
1073,562,KNOWS
1046,519,KNOWS_SN
1046,519,KNOWS
448,622,KNOWS_SN
448,622,KNOWS
973,464,KNOWS_SN
973,464,KNOWS
1024,1005,KNOWS_SN
1024,1005,KNOWS
327,596,KNOWS_SN
327,596,KNOWS
509,535,KNOWS_SN
509,535,KNOWS
713,1293,KNOWS_SN
713,1293,KNOWS
706,423,KNOWS_SN
706,423,KNOWS
896,397,KNOWS_SN
896,397,KNOWS
576,1104,KNOWS_SN
576,1104,KNOWS
419,403,KNOWS_SN
419,403,KNOWS
1092,217,KNOWS_SN
1092,217,KNOWS
1265,1283,KNOWS_SN
1265,1283,KNOWS
70,849,KNOWS_SN
70,849,KNOWS
1114,572,KNOWS_SN
1114,572,KNOWS
487,920,KNOWS_SN
487,920,KNOWS
199,1186,KNOWS_SN
199,1186,KNOWS
630,904,KNOWS_SN
630,904,KNOWS
27,614,KNOWS_SN
27,614,KNOWS
828,1166,KNOWS_SN
828,1166,KNOWS
121,584,KNOWS_SN
121,584,KNOWS
531,1202,KNOWS_SN
531,1202,KNOWS
468,1134,KNOWS_SN
468,1134,KNOWS
600,433,KNOWS_SN
600,433,KNOWS
1001,764,KNOWS_SN
1001,764,KNOWS
452,716,KNOWS_SN
452,716,KNOWS
1238,993,KNOWS_SN
1238,993,KNOWS
2,938,KNOWS_SN
2,938,KNOWS
776,166,KNOWS_SN
776,166,KNOWS
1073,256,KNOWS_SN
1073,256,KNOWS
147,1148,KNOWS_SN
147,1148,KNOWS
930,881,KNOWS_SN
930,881,KNOWS
448,1253,KNOWS_SN
448,1253,KNOWS
973,357,KNOWS_SN
